file,snippet
vimdebstretche-src2Fscreen.c, sprintf
vimdebstretche-src2Fscreen.c,	sprintf
vimdebstretche-src2Fscreen.c, sprintf
vimdebstretche-src2Fscreen.c, sprintf
vimdebstretche-src2Fscreen.c,	sprintf
m4sources1.18-lib2Ftmpdir.c, sprintf
gitlab_gimp_master-gimp2Fapp2Fxcf2Fxcf-save.c, sprintf
gitlab_gimp_master-gimp2Fapp2Fxcf2Fxcf-save.c, strcpy
juliet-cpp-CWE401_Memory_Leak__char_calloc_63a.c, strcpy
bind-9.11.0-lib2Fdns2Fdst_api.c,	sprintf
e2fsprogartful-lib2Fext2fs2Fdupfs.c,	strcpy
iprouteold-tipc2Flink.c,	sprintf
iprouteold-tipc2Flink.c,	sprintf
iprouteold-tipc2Flink.c,	strcpy
iprouteold-tipc2Flink.c,	strcpy
iprouteold-tipc2Flink.c,	strcpy
iprouteold-tipc2Flink.c,	strcpy
iprouteold-tc2Fm_action.c,	strcpy
e2fsprogtrusty-lib2Fblkid2Fsave.c,	sprintf
e2fsprogtrusty-lib2Fblkid2Fsave.c,	sprintf
lessxenial-charset.c,	strcpy
lessxenial-charset.c,	strcpy
binutils-ld2Ftestplug.c, strcpy
binutils-ld2Ftestplug.c, sprintf
C_Prueba_04_CWE591_Sensitive_Data_Storage_in_Improperly_Locked_Memory-CWE591_Sensitive_Data_Storage_in_Improperly_Locked_Memory__w32_char_18.c, strcpy
C_Prueba_04_CWE591_Sensitive_Data_Storage_in_Improperly_Locked_Memory-CWE591_Sensitive_Data_Storage_in_Improperly_Locked_Memory__w32_char_18.c, strcpy
flexxenpatch-src2Fscan.c,	strcpy
flexxenpatch-src2Fscan.c,	strcpy
flexxenpatch-src2Fscan.c,	strcpy
flexxenpatch-src2Fscan.c,	strcpy
flexxenpatch-src2Fscan.c,	strcpy
gitlab_gimp_master-gimp2Fplug-ins2Fcommon2Fanimation-optimize.c, strcpy
gitlab_gimp_master-gimp2Fplug-ins2Fcommon2Fanimation-optimize.c, strcpy
juliet-cpp-CWE401_Memory_Leak__char_calloc_01.c, strcpy
findutilsxenial-progs2Ftic.c,	sprintf
bashsources-expr.c, sprintf
minime-CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_01.c, strcpy
juliet-cpp-CWE401_Memory_Leak__char_realloc_44.c, strcpy
ssocopsacc_openldap-libraries2Fliblber2Fsockbuf.c,	strcpy
C_Prueba_04_CWE591_Sensitive_Data_Storage_in_Improperly_Locked_Memory-CWE591_Sensitive_Data_Storage_in_Improperly_Locked_Memory__w32_char_63a.c, strcpy
C_Prueba_04_CWE591_Sensitive_Data_Storage_in_Improperly_Locked_Memory-CWE591_Sensitive_Data_Storage_in_Improperly_Locked_Memory__w32_char_63a.c, strcpy
bind-9.11.0-lib2Fdns2Frdata.c,	sprintf
bashxenial-lib2Fsh2Fstringlist.c,	strcpy
bashxenial-lib2Fsh2Fstringlist.c, strcpy
bashxenial-lib2Fsh2Fstringlist.c,	strcpy
libvmi-libvmi2Fdriver2Fkvm2Fkvm.c, strcat
libvmi-libvmi2Fdriver2Fkvm2Fkvm.c, strcat
libvmi-libvmi2Fdriver2Fkvm2Fkvm.c, sprintf
iproute2xenpatch-ip2Ftunnel.c,	strcpy
iproute2xenpatch-ip2Ftunnel.c,	strcpy
iproute2xenpatch-ip2Ftunnel.c,	strcpy
iproute2xenpatch-ip2Ftunnel.c,	strcpy
iproute2xenpatch-ip2Ftunnel.c,	strcpy
iproute2xenpatch-ip2Ftunnel.c,	strcpy
spring-AI2FSkirmish2FShard2Flib2Flua2Flstrlib.c, strcpy
spring-AI2FSkirmish2FShard2Flib2Flua2Flstrlib.c, sprintf
spring-AI2FSkirmish2FShard2Flib2Flua2Flstrlib.c, sprintf
spring-AI2FSkirmish2FShard2Flib2Flua2Flstrlib.c, sprintf
spring-AI2FSkirmish2FShard2Flib2Flua2Flstrlib.c, sprintf
spring-AI2FSkirmish2FShard2Flib2Flua2Flstrlib.c, sprintf
bashsources-lib2Freadline2Fbind.c, sprintf
bashsources-lib2Freadline2Fbind.c, sprintf
bashsources-lib2Freadline2Fbind.c, sprintf
bashsources-lib2Freadline2Fbind.c, sprintf
bashsources-lib2Freadline2Fbind.c,	strcat
bashsources-lib2Freadline2Fbind.c,	strcpy
bashsources-lib2Freadline2Fbind.c, strcpy
bashsources-lib2Freadline2Fbind.c, strcpy
bashsources-lib2Freadline2Fbind.c, sprintf
bashsources-lib2Freadline2Fbind.c, sprintf
bashsources-lib2Freadline2Fbind.c, sprintf
bashsources-lib2Freadline2Fbind.c, sprintf
bashsources-lib2Freadline2Fbind.c, sprintf
ssocopsacc_openldap-serveradm-servers2Fslapd2Fat.c, sprintf
ssocopsacc_openldap-serveradm-servers2Fslapd2Fat.c,	strcpy
ssocopsacc_openldap-serveradm-servers2Fslapd2Fat.c,	strcpy
e2fsprogartful-misc2Fmklost+found.c,	sprintf
e2fsprogartful-misc2Fmklost+found.c,	strcpy
e2fsprogartful-misc2Fmklost+found.c,	strcat
e2fsprogartful-misc2Fmklost+found.c,	strcat
e2fsprogartful-misc2Fmklost+found.c,	sprintf
e2fsprogartful-misc2Fmklost+found.c,	strcpy
e2fsprogartful-misc2Fmklost+found.c,	strcat
e2fsprogartful-misc2Fmklost+found.c,	strcat
e2fsprogtrusty-misc2Fblkid.c,	strcpy
e2fsprogtrusty-misc2Fblkid.c,	strcpy
e2fsprogtrusty-misc2Fblkid.c,	strcpy
GimpMaster-gimp2Fapp2Fdisplay2Fgimpstatusbar.c, strcpy
bashxenpatch-lib2Freadline2Fshell.c, sprintf
bashxenpatch-lib2Freadline2Fshell.c, sprintf
vimxenial-src2Fsha256.c,	sprintf
vimxenial-src2Fsha256.c,	sprintf
iproutexen-tc2Fem_meta.c,	strcat
iproutexen-tc2Fem_meta.c,	strcat
iproutexen-tc2Fem_meta.c,	strcat
isc-projects_bind9-lib2Fisc2Funix2Fsocket.c,	sprintf
sysvinittrusty-src2Flast.c,	strcpy
sysvinittrusty-src2Flast.c,	strcat
sysvinittrusty-src2Flast.c,	strcpy
sysvinittrusty-src2Flast.c,	sprintf
sysvinittrusty-src2Flast.c,	sprintf
sysvinittrusty-src2Flast.c,	sprintf
sysvinittrusty-src2Flast.c,	sprintf
sysvinittrusty-src2Flast.c,	sprintf
sysvinittrusty-src2Flast.c,	sprintf
sysvinittrusty-src2Flast.c,	sprintf
sysvinittrusty-src2Flast.c,	sprintf
sysvinittrusty-src2Flast.c,	sprintf
sysvinittrusty-src2Flast.c,	sprintf
sysvinittrusty-src2Flast.c,	sprintf
sysvinittrusty-src2Flast.c,	sprintf
sysvinittrusty-src2Flast.c,	strcpy
sysvinittrusty-src2Flast.c,	strcpy
sysvinittrusty-src2Flast.c,	strcpy
sysvinittrusty-src2Flast.c,	strcpy
sysvinittrusty-src2Flast.c,	sprintf
C_Prueba_04_CWE591_Sensitive_Data_Storage_in_Improperly_Locked_Memory-CWE591_Sensitive_Data_Storage_in_Improperly_Locked_Memory__w32_char_12.c, strcpy
C_Prueba_04_CWE591_Sensitive_Data_Storage_in_Improperly_Locked_Memory-CWE591_Sensitive_Data_Storage_in_Improperly_Locked_Memory__w32_char_12.c, strcpy
C_Prueba_04_CWE591_Sensitive_Data_Storage_in_Improperly_Locked_Memory-CWE591_Sensitive_Data_Storage_in_Improperly_Locked_Memory__w32_char_12.c, strcpy
C_Prueba_04_CWE591_Sensitive_Data_Storage_in_Improperly_Locked_Memory-CWE591_Sensitive_Data_Storage_in_Improperly_Locked_Memory__w32_char_12.c, strcpy
libtiff-4.0.6-tools2Ftiffcrop.c, strcpy
libtiff-4.0.6-tools2Ftiffcrop.c, strcpy
libtiff-4.0.6-tools2Ftiffcrop.c, strcpy
libtiff-4.0.6-tools2Ftiffcrop.c, strcpy
libtiff-4.0.6-tools2Ftiffcrop.c, sprintf
libtiff-4.0.6-tools2Ftiffcrop.c, sprintf
libtiff-4.0.6-tools2Ftiffcrop.c, sprintf
libtiff-4.0.6-tools2Ftiffcrop.c, sprintf
libtiff-4.0.6-tools2Ftiffcrop.c, sprintf
libtiff-4.0.6-tools2Ftiffcrop.c, sprintf
libtiff-4.0.6-tools2Ftiffcrop.c, sprintf
libtiff-4.0.6-tools2Ftiffcrop.c, sprintf
libtiff-4.0.6-tools2Ftiffcrop.c, strcpy
libtiff-4.0.6-tools2Ftiffcrop.c, strcpy
libtiff-4.0.6-tools2Ftiffcrop.c, strcpy
libtiff-4.0.6-tools2Ftiffcrop.c, strcpy
libtiff-4.0.6-tools2Ftiffcrop.c, strcpy
libtiff-4.0.6-tools2Ftiffcrop.c, strcpy
libtiff-4.0.6-tools2Ftiffcrop.c, strcpy
libtiff-4.0.6-tools2Ftiffcrop.c, strcpy
libtiff-4.0.6-tools2Ftiffcrop.c, strcpy
libtiff-4.0.6-tools2Ftiffcrop.c, strcpy
libtiff-4.0.6-tools2Ftiffcrop.c, strcpy
libtiff-4.0.6-tools2Ftiffcrop.c, strcpy
libtiff-4.0.6-tools2Ftiffcrop.c, strcpy
libtiff-4.0.6-tools2Ftiffcrop.c, strcpy
libtiff-4.0.6-tools2Ftiffcrop.c, strcpy
libtiff-4.0.6-tools2Ftiffcrop.c, strcpy
libtiff-4.0.6-tools2Ftiffcrop.c, strcpy
libtiff-4.0.6-tools2Ftiffcrop.c, sprintf
procpss-top2Ftop.c, strcpy
procpss-top2Ftop.c, strcpy
procpss-top2Ftop.c, strcpy
procpss-top2Ftop.c, strcpy
procpss-top2Ftop.c, strcat
procpss-top2Ftop.c, strcat
bind-9.11.0-lib2Fdns2Frdata2Fgeneric2Fl64_106.c,	sprintf
bind-9.11.0-lib2Fdns2Frdata2Fgeneric2Fl64_106.c,	sprintf
sysvinittrusty-src2Fwall.c,	strcat
sysvinittrusty-src2Fwall.c, strcat
sysvinittrusty-src2Fwall.c,	strcat
sysvinittrusty-src2Fwall.c,	strcpy
sysvinittrusty-src2Fwall.c,	strcat
e2fsprogsxenpatch-misc2Fchattr.c,	sprintf
kbdartful-src2Fresizecons.c, sprintf
kbdartful-src2Fresizecons.c,	sprintf
kbdartful-src2Fresizecons.c, sprintf
kbdartful-src2Fresizecons.c, sprintf
kbdartful-src2Fresizecons.c, sprintf
juliet_testsuite_CWE121_S01-CWE121_Stack_Based_Buffer_Overflow__CWE135_44.c,)strcpy
binutils-gprof2Futils.c, sprintf
binutils-gprof2Futils.c, sprintf
iproutexen-ip2Fipntable.c,	strcpy
e2fsprogsxenpatch-lib2Fss2Fhelp.c,	sprintf
e2fsprogsxenpatch-lib2Fss2Fhelp.c, strcpy
e2fsprogsxenpatch-lib2Fss2Fhelp.c, strcat
e2fsprogsxenpatch-lib2Fss2Fhelp.c, strcat
e2fsprogsxenpatch-lib2Fss2Fhelp.c, strcat
e2fsprogsxenpatch-lib2Fss2Fhelp.c,	strcpy
e2fsprogsxenpatch-lib2Fss2Fhelp.c,	strcat
e2fsprogsxenpatch-lib2Fss2Fhelp.c, strcpy
vimactualxenialpreviousversion-src2Fsyntax.c,	sprintf
vimactualxenialpreviousversion-src2Fsyntax.c, sprintf
vimactualxenialpreviousversion-src2Fsyntax.c, sprintf
vimactualxenialpreviousversion-src2Fsyntax.c,	sprintf
vimactualxenialpreviousversion-src2Fsyntax.c,	sprintf
PavanNikhilesh_dpdk-app2Ftest2Ftest_cryptodev.c,	strcpy
PavanNikhilesh_dpdk-app2Ftest2Ftest_cryptodev.c,	strcat
PavanNikhilesh_dpdk-app2Ftest2Ftest_cryptodev.c,	strcpy
gawkxenpatch-src2Feval.c, sprintf
gawkxenpatch-src2Feval.c,	sprintf
gawkxenpatch-src2Feval.c,	sprintf
gawkxenpatch-src2Feval.c, sprintf
gawkxenpatch-src2Feval.c, sprintf
gawkxenpatch-src2Feval.c, sprintf
gawkxenpatch-src2Feval.c,	sprintf
gawkxenpatch-src2Feval.c,	sprintf
gawkxenpatch-src2Feval.c, sprintf
gawkxenpatch-src2Feval.c,	sprintf
gawkxenpatch-src2Feval.c, sprintf
gawkxenpatch-src2Feval.c,	sprintf
gawkxenpatch-src2Feval.c,	sprintf
gawkxenpatch-src2Feval.c,	sprintf
gawkxenpatch-src2Feval.c,	sprintf
gawkxenpatch-src2Feval.c,	sprintf
gawkxenpatch-src2Feval.c,	sprintf
gawkxenpatch-src2Feval.c,	sprintf
gawkxenpatch-src2Feval.c, sprintf
gawkxenpatch-src2Feval.c,	sprintf
gawkxenpatch-src2Feval.c, sprintf
gawkxenpatch-src2Feval.c, sprintf
gawkxenpatch-src2Feval.c, sprintf
juliet-cpp-CWE401_Memory_Leak__char_malloc_04.c, strcpy
iproute2xenpatch-tc2Ftc.c, strcpy
s4paneum_wrk-obj2FLuaJIT-2.1.0-beta32Fsrc2Fhost2Fminilua.c,
s4paneum_wrk-obj2FLuaJIT-2.1.0-beta32Fsrc2Fhost2Fminilua.c,
s4paneum_wrk-obj2FLuaJIT-2.1.0-beta32Fsrc2Fhost2Fminilua.c,
s4paneum_wrk-obj2FLuaJIT-2.1.0-beta32Fsrc2Fhost2Fminilua.c,
s4paneum_wrk-obj2FLuaJIT-2.1.0-beta32Fsrc2Fhost2Fminilua.c,
